"","country","year","population","gni","num_tb_cases","ir_tb"
"2","Argentina",2005,38647854,10500,13000,33
"5","Bolivia",2005,9354709,3920,15000,158
"8","Brazil",2005,186142403,10240,95000,51
"11","Chile",2005,16337749,11700,2800,17
"14","Colombia",2005,43184026,7970,17000,38
"17","Costa Rica",2005,4320130,9360,700,16
"20","Cuba",2005,11292078,12330,1000,9.2
"23","Dominican Republic",2005,9343362,7380,7700,82
"26","Ecuador",2005,13777131,7310,11000,83
"29","El Salvador",2005,6072538,5970,1900,31
"32","Guatemala",2005,12678919,5660,8200,65
"35","Guyana",2005,760834,4310,880,115
"38","Haiti",2005,9260879,1420,25000,272
"41","Honduras",2005,6898825,3350,5000,73
"44","Mexico",2005,110731826,11750,23000,21
"47","Nicaragua",2005,5455219,3310,2400,44
"50","Panama",2005,3365929,9210,2100,61
"53","Paraguay",2005,5904170,4510,2900,49
"56","Peru",2005,27723281,6230,42000,150
"59","Suriname",2005,499523,10640,310,62
"62","Trinidad and Tobago",2005,1296933,21580,210,16
"65","Uruguay",2005,3325155,10970,710,21
"68","Venezuela",2005,26725897,13140,9000,34
